bug_submission,bug_comment,review_submission,review_comment,forum_thread,committer
1,0,1,0,0,0
19,14,57,104,0,0
459,549,0,49,98,6
3,4,3,0,0,0
1,0,13,0,0,0
143,1725,0,1,2,2
5,6,9,0,0,0
414,1760,0,13,0,5
4,3,8,0,0,0
58,323,0,25,41,9
59,48,11,3,0,1
489,631,690,335,171,5
225,203,149,203,112,4
3,0,3,0,0,0
1,0,1,0,0,0
35,24,73,4,95,1
7,16,3,0,0,0
1,1,0,2,0,0
10,4,1,0,0,0
1,0,3,0,0,0
3,0,5,1,0,0
21,12,3,0,0,0
186,792,274,88,67,3
2,4,0,1,0,0
56,16,5,0,0,0
7,0,7,0,0,0
0,0,1,1,0,0
1,0,3,0,0,0
44,25,11,4,0,1
78,295,1,1,1,3
3,0,10,3,0,1
0,1,1,0,0,0
1,4,2,0,0,0
2,1,1,0,0,0
59,20,6,15,0,1
8,0,7,0,0,0
0,0,1,0,0,0
101,74,22,0,0,2
4,1,1,0,0,0
1,1,6,0,0,0
2,0,10,0,0,0
14,13,10,0,0,0
2,0,2,1,0,0
2,0,2,0,0,0
48,36,67,157,0,1
0,0,5,0,0,0
180,58,3,0,456,1
11,1,1,0,0,0
6,6,0,1,0,0
7,1,3,0,0,0
0,0,2,0,0,0
0,0,0,1,0,0
31,5,6,1,1,1
11,52,62,18,0,4
131,128,48,6,0,7
1,3,3,0,0,0
630,605,501,154,0,5
9,0,1,0,0,0
174,38,1,1,0,0
86,513,73,5,148,1
67,36,72,16,7,3
8,2,3,0,0,0
4,0,1,0,0,0
0,0,55,20,0,0
0,0,0,2,0,0
0,0,5,0,0,0
75,25,0,1,1,1
24,1,26,0,0,0
3,8,1,0,0,0
3,0,3,0,0,0
12,0,13,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
21,16,6,0,5,1
80,176,64,106,13,1
207,80,192,16,4,4
6,10,1,1,0,0
0,0,1,0,0,0
1,0,4,15,0,0
0,0,1,0,0,0
1,0,1,0,0,0
0,0,1,0,0,0
12,4,1,0,0,0
1,0,3,0,0,0
12,8,14,7,7,1
115,85,18,10,4,2
0,0,2,0,0,0
137,116,123,79,20,2
43,29,8,0,0,0
30,27,2,1,0,0
26,4,3,0,0,0
586,661,157,494,225,3
9,23,159,23,10,1
142,339,80,184,0,2
257,620,0,2,7,2
